File Name,Cluster
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_10.png,10
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_11.jpg,14
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_12.jpg,1
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_14.jpg,8
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_16.jpg,16
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_17.jpg,5
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_18.jpg,12
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_19.png,8
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_2.png,0
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_20.jpg,12
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_21.jpg,3
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_22.jpg,12
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_24.png,7
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_25.jpg,5
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_26.jpg,14
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_29.png,22
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_30.jpg,5
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_31.jpg,19
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_32.png,3
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_33.png,10
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_34.jpg,12
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_39.png,0
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_4.jpg,14
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_41.jpg,12
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_42.png,3
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_43.jpg,18
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_44.jpg,19
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_45.png,10
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_46.png,0
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_47.jpg,3
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_48.png,4
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_49.jpg,14
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_5.png,14
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_50.jpg,18
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_51.jpg,12
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_52.jpg,14
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_53.png,10
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_57.png,14
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_58.png,14
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_59.jpg,14
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_6.jpg,18
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_60.jpg,14
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_62.jpg,1
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_67.png,22
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_69.png,14
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_70.jpg,1
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_71.jpg,17
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_72.jpg,8
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_73.jpg,8
C:\Users\Tanvi\Desktop\Resumes Datasets\Bing_images\Accountant resumes\Image_74.jpg,3
